mrr:0.02690531220716212	hit10:0.048624267027514656	hit5:0.029950383400992334	hit1:0.006765899864682003
mrr:0.2154552698780323	hit10:0.2562922868741543	hit5:0.23599458728010825	hit1:0.19061795218764097
mrr:0.22305098840696666	hit10:0.2662156066756879	hit5:0.2453766350924673	hit1:0.19702300405953993
mrr:0.22127402855142175	hit10:0.262787550744249	hit5:0.2404149751917005	hit1:0.19630130807397383
mrr:0.22410236547917908	hit10:0.2629679747406405	hit5:0.2431213351375733	hit1:0.19990978800180423
mrr:0.22321831961055785	hit10:0.2640505187189896	hit5:0.24330175913396482	hit1:0.1983761840324763
mrr:0.22540498205628923	hit10:0.26874154262516914	hit5:0.24871447902571042	hit1:0.20009021199819577
mrr:0.2205033436792659	hit10:0.26468200270635994	hit5:0.24348218313035633	hit1:0.19404600811907985
mrr:0.21687286096287559	hit10:0.26008119079837616	hit5:0.23752819124943617	hit1:0.19179070816418584
mrr:0.22047004773644466	hit10:0.26242670275146596	hit5:0.24095624718087505	hit1:0.19576003608479928
mrr:0.2189301645473321	hit10:0.26287776274244473	hit5:0.24276048714479026	hit1:0.1926026161479477
mrr:0.22017122452812563	hit10:0.2617952187640956	hit5:0.23987370320252593	hit1:0.19557961208840777
mrr:0.22345869282800102	hit10:0.2667568786648624	hit5:0.24402345511953089	hit1:0.1980153360396933
mrr:0.22199111981608344	hit10:0.26377988272440234	hit5:0.24032476319350474	hit1:0.19783491204330175
mrr:0.2212660262673968	hit10:0.26612539467749213	hit5:0.24285069914298602	hit1:0.19612088407758232
mrr:0.22411385553622568	hit10:0.2647722147045557	hit5:0.2431213351375733	hit1:0.2
mrr:0.221041868341126	hit10:0.2591790708164186	hit5:0.23978349120433018	hit1:0.19702300405953993
mrr:0.22249775543736391	hit10:0.2620658547586829	hit5:0.2426702751465945	hit1:0.19783491204330175
mrr:0.2249367788186316	hit10:0.26486242670275145	hit5:0.24465493910690123	hit1:0.19927830401443392
mrr:0.22089331171339055	hit10:0.26486242670275145	hit5:0.2404149751917005	hit1:0.19576003608479928
mrr:0.2214188882636231	hit10:0.26152458276950835	hit5:0.23924221921515562	hit1:0.1975642760487145
mrr:0.2236601161533217	hit10:0.26558412268831755	hit5:0.24402345511953089	hit1:0.19873703202525936
mrr:0.2197528308086913	hit10:0.26305818673883624	hit5:0.23897158322056833	hit1:0.1941362201172756
mrr:0.22053931679844116	hit10:0.2638700947225981	hit5:0.2413170951736581	hit1:0.19431664411366711
mrr:0.22395964437409746	hit10:0.26630581867388364	hit5:0.24285069914298602	hit1:0.19900766801984665
mrr:0.22316432179026569	hit10:0.2645917907081642	hit5:0.24285069914298602	hit1:0.19747406405051873
