mrr:0.02955057281333592	hit10:0.06310414006930512	hit5:0.03592923581980668	hit1:0.010031004924311509
mrr:0.2652112880352897	hit10:0.39430968447929965	hit5:0.33831843881087	hit1:0.1956957869779318
mrr:0.2698647634047206	hit10:0.38865584534014225	hit5:0.34050702170344704	hit1:0.20226153565566296
mrr:0.27216642955890225	hit10:0.3968630311873062	hit5:0.3437898960423126	hit1:0.20353820900966624
mrr:0.27342786842042294	hit10:0.40470545321904067	hit5:0.3481670618274667	hit1:0.20153200802480395
mrr:0.2694904088574466	hit10:0.40124019697246033	hit5:0.34689038847346343	hit1:0.19697246033193508
mrr:0.27414010994440624	hit10:0.4030640160496079	hit5:0.3481670618274667	hit1:0.20372059091738098
mrr:0.2739665145656188	hit10:0.39996352361845705	hit5:0.3448841874886011	hit1:0.2049972642713843
mrr:0.27073362447337124	hit10:0.3981397045413095	hit5:0.3406894036111618	hit1:0.20098486230165968
mrr:0.27283145595845376	hit10:0.4017873426956046	hit5:0.34360751413459784	hit1:0.20517964617909903
mrr:0.2721508650451418	hit10:0.40087543315703084	hit5:0.34287798650373885	hit1:0.20317344519423672
mrr:0.2735766968840479	hit10:0.39759255881816524	hit5:0.34415465985774213	hit1:0.20517964617909903
mrr:0.2735447584651653	hit10:0.4001459055261718	hit5:0.34652562465803394	hit1:0.20590917380995805
mrr:0.27211299314614334	hit10:0.39941637789531276	hit5:0.34087178551887654	hit1:0.2040853547328105
mrr:0.27454911211698974	hit10:0.39759255881816524	hit5:0.341236549334306	hit1:0.20718584716396132
mrr:0.2697715605278478	hit10:0.3964982673718767	hit5:0.3364946197337224	hit1:0.20207915374794821
mrr:0.2764876177959097	hit10:0.40415830749589643	hit5:0.34287798650373885	hit1:0.2090096662411089
mrr:0.2763582657108432	hit10:0.4010578150647456	hit5:0.3430603684114536	hit1:0.2090096662411089
mrr:0.2775704159795679	hit10:0.4006930512493161	hit5:0.3474375341966077	hit1:0.2090096662411089
mrr:0.2751091375278786	hit10:0.40087543315703084	hit5:0.3445194236731716	hit1:0.2064563195331023
mrr:0.27681231504240783	hit10:0.40415830749589643	hit5:0.34652562465803394	hit1:0.20846252051796463
mrr:0.2779134173059966	hit10:0.4037935436804669	hit5:0.34834944373518145	hit1:0.20882728433339412
mrr:0.2826131588421636	hit10:0.4025168703264636	hit5:0.3505380266277585	hit1:0.2157577968265548
mrr:0.28350102469958344	hit10:0.4070764180193325	hit5:0.3523618457049061	hit1:0.21466350538026627
mrr:0.28127582220563174	hit10:0.4016049607878898	hit5:0.3505380266277585	hit1:0.21466350538026627
mrr:0.28388661820922306	hit10:0.4141893124202079	hit5:0.3541856647820536	hit1:0.21521065110341053
mrr:0.28162574300670284	hit10:0.4154659857742112	hit5:0.3561918657669159	hit1:0.20919204814882364
mrr:0.28939145753683276	hit10:0.40962976472733903	hit5:0.35199708188947654	hit1:0.22323545504285974
mrr:0.2831941716910708	hit10:0.40470545321904067	hit5:0.348714207550611	hit1:0.21594017873426957
mrr:0.2887360215782042	hit10:0.4132774028816341	hit5:0.358380448659493	hit1:0.22195878168885647
mrr:0.28906083003583605	hit10:0.41072405617362756	hit5:0.3585628305672077	hit1:0.21995258070399418
mrr:0.28385068802313007	hit10:0.41218311143534564	hit5:0.36293999635236185	hit1:0.2117453948568302
mrr:0.281572530445664	hit10:0.4085354732810505	hit5:0.35217946379719134	hit1:0.21083348531825644
mrr:0.28388203220859637	hit10:0.41218311143534564	hit5:0.35637424767463066	hit1:0.213386832026263
mrr:0.2827394644412062	hit10:0.41309502097391937	hit5:0.36020426773664055	hit1:0.21083348531825644
mrr:0.28390580442721186	hit10:0.4114535838044866	hit5:0.35765092102863394	hit1:0.2137515958416925
mrr:0.2881378676971238	hit10:0.4147364581433522	hit5:0.3612985591829291	hit1:0.2190406711654204
mrr:0.28531927542666335	hit10:0.4094473828196243	hit5:0.3527266095203356	hit1:0.21630494254969906
mrr:0.2820315441917096	hit10:0.4078059456501915	hit5:0.3485318256428962	hit1:0.21484588728798104
mrr:0.28297174523226687	hit10:0.4085354732810505	hit5:0.34798467991975196	hit1:0.21594017873426957
mrr:0.2805698117456375	hit10:0.39941637789531276	hit5:0.34761991610432247	hit1:0.2157577968265548
mrr:0.28140447513938277	hit10:0.39759255881816524	hit5:0.3474375341966077	hit1:0.21685208827284333
mrr:0.2844116097660774	hit10:0.4043406894036112	hit5:0.35327375524347987	hit1:0.21867590734999087
mrr:0.28144239628758677	hit10:0.39704541309502095	hit5:0.3430603684114536	hit1:0.21685208827284333
mrr:0.2802934386909771	hit10:0.399233995987598	hit5:0.34689038847346343	hit1:0.2137515958416925
mrr:0.2827577222814572	hit10:0.4034287798650374	hit5:0.3554623381360569	hit1:0.21648732445741384
mrr:0.280081925912561	hit10:0.40525259894218496	hit5:0.3514499361663323	hit1:0.2130220682108335
mrr:0.2822974144066926	hit10:0.40196972460331937	hit5:0.35163231807404705	hit1:0.21557541491884005
